question,category,faithfulness,answer_relevancy,context_precision,tools_used,n_contexts,n_rag_contexts,duration_s,answer_preview,error
¿Cuál es el precio actual de Bitcoin y cómo ha variado en las últimas 24 horas?,price,1.0,0.8083,1.0,query_market,1,0,9.08,"**Resumen Ejecutivo:** El precio actual de Bitcoin es de $62,746.07, con una ligera disminución del 0.17% en la última hora. En las últimas 24 horas, el precio ha mostrado una tendencia alcista genera",
¿Qué tendencia muestran las EMAs en el timeframe de 1 hora para BTC?,price,1.0,0.5862,1.0,query_market,1,0,9.97,"**Resumen Ejecutivo:** En el timeframe de 1 hora, las EMAs de Bitcoin muestran una tendencia alcista, con la EMA de 9 por encima de las EMAs de 21 y 50, lo que indica un impulso positivo en el corto p",
¿En qué zona de las Bollinger Bands se encuentra BTC ahora mismo?,price,1.0,0.591,0.0,query_market,1,0,6.57,"**Resumen Ejecutivo:** Bitcoin se encuentra actualmente en una posición alta dentro de las Bandas de Bollinger, cerca de la banda superior, lo que indica que el precio está en un estado de sobrecompra",
¿Cómo está el RSI actual de Bitcoin y qué implica?,price,1.0,0.7511,1.0,query_market,1,0,7.17,"**Resumen Ejecutivo:** El RSI actual de Bitcoin es de 80.87, lo que indica que el activo está en una zona de sobrecompra extrema. Esto sugiere que podría haber una corrección o una desaceleración en e",
¿Cómo está el sentimiento de las noticias de Bitcoin en los últimos 3 días?,sentiment,1.0,0.7942,1.0,get_sentiment,1,0,6.18,"El sentimiento de las noticias sobre Bitcoin en los últimos 3 días ha sido negativo, con un promedio general de -0.1864. Esto indica que la percepción en los medios es desfavorable hacia Bitcoin en es",
¿Cuál es el Fear and Greed Index actual de Bitcoin?,sentiment,1.0,0.7371,1.0,get_fear_greed,1,0,5.17,"El índice de miedo y codicia (Fear and Greed Index) actual de Bitcoin es de 12, lo que indica un estado de ""Miedo extremo"". Este valor sugiere que los inversores están muy preocupados por el mercado, ",
¿Ha mejorado el sentimiento de las noticias respecto a la semana pasada?,sentiment,1.0,0.5513,1.0,get_sentiment,1,0,7.27,"### Resumen Ejecutivo El sentimiento de las noticias sobre Bitcoin ha mostrado una tendencia neutra en las últimas dos semanas, con fluctuaciones que van desde negativo a ligeramente positivo. Compara",
¿Cuántas noticias se han procesado hoy y cuál es el score medio?,sentiment,1.0,0.5299,0.1667,"rag_search,get_sentiment",6,5,9.48,"**Resumen Ejecutivo:** Hoy se han procesado 61 noticias relacionadas con Bitcoin, con un sentimiento medio negativo de -0.2007. Esto indica que el tono general de las noticias es desfavorable, lo que ",
¿Hay algún Order Block relevante cercano al precio actual?,ict,0.8333,0.7422,1.0,get_ict_context,1,0,8.18,"### Resumen Ejecutivo Actualmente, hay varios Order Blocks (OB) activos en el mercado de Bitcoin, tanto bullish como bearish. El más cercano al precio actual se encuentra en una posición bearish, lo q",
¿Estamos actualmente dentro de una killzone ICT?,ict,1.0,0.5848,1.0,get_ict_context,1,0,19.35,"**Resumen Ejecutivo:** Actualmente estamos dentro de una killzone de la sesión de Londres, lo que puede ser un momento propicio para observar movimientos significativos en el precio de Bitcoin. La pró",
